PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,COMPANY_NAME,PAIDUP_CAPITAL
Agriculture & allied,NEW CHUMTA TEA COMPANY LIMITED,21400000
Agriculture & allied,NORTHERN BENGAL TEA CORPN LTD,20506000
Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,HOWRAH MILLS CO LTD,64443070
Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,ALLIANCE UDYOG LTD.,6000000
Construction,AHMEDNAGAR IMARAT COMPANY LIMITED,500000
Construction,BACHITTER SINGH ANDSONS FINANCE PVT LTD,414000
Other community social and personal service activities,WHELER CLUB LTD.,2130021
Other community social and personal service activities,OOTACAMUND CLUB,0
Other community social and personal service activities,OOTACAMUND GYMKHANA CLUB,0
Other community social and personal service activities,MALABAR CLUB,0
Other community social and personal service activities,THE UPPER INDIA CHAMBER OF COMMERCE,0
Other community social and personal service activities,THE BENARES CLUB LIMITED,0
Other community social and personal service activities,THE MAHOMED BAGH CLUB LIMITED,0
Real estate renting and business activities,D C M LIMITED,186746315
Real estate renting and business activities,THE GROB TEA CO LTD,11623300
Hotels and restaurants,CACHAR CLUB CO LTD,23605300
Health and social work,JALPAIGURI CLUB COMPANY LTD,98410
Extraterritorial organizations and bodies,BOMBAY BURMAH TRADING CORPORATIONLIMITED,139543800
Extraterritorial organizations and bodies,THE DECCAN PAPER MILLS COMPANY LIMITED,2387500
Financial intermediation,SRIMAN MADHWA SIDHANTAONNAHINI PERMANENT NIDHI LIMITED,64693490
Financial intermediation,CHEVIOT CO LTD,64668750
Transport storage and communications,THE MOTILAL HIRABHAI ESTATE ANDWAREHOUSE LIMITED,999000
Transport storage and communications,JAMALPUR ICE COMPANY LIMITED,17800
Mining and quarrying,R. C. A. LIMITED,6300680
Mining and quarrying,THE NEW BEERBHOOM COAL CO LTD,3197210
Manufacturing,CENTURY TEXTILES AND INDUSTRIES LIMITED,1116900000
Manufacturing,PENINSULA LAND LIMITED,559000000
